# L=5, N=5, T=1.0, sym gs
#          U         Eg                 S₁(ℓ=2)              S₁acc(ℓ=2)                 S₂(ℓ=2)              S₂acc(ℓ=2)                 EN(ℓ=2)              ENacc(ℓ=2)
    0.010000     -9.980039801417E+00      1.495602593121E+00      1.178958448169E-05      1.376429261742E+00      1.577830841311E-06      1.607539337246E+00      1.689120871626E-03
    0.025119     -9.950011540297E+00      1.492054902129E+00      6.397758743164E-05      1.372171915630E+00      9.749366779396E-06      1.607219074627E+00      4.199706405970E-03
    0.063096     -9.875352880126E+00      1.483483729039E+00      3.311763625125E-04      1.361801893372E+00      5.841948416540E-05      1.606329398245E+00      1.028633474431E-02
    0.158489     -9.692352956729E+00      1.463706805933E+00      1.567362789576E-03      1.337590193299E+00      3.255437440916E-04      1.603634233005E+00      2.431751010706E-02
    0.398107     -9.257307076504E+00      1.421790619882E+00      6.263710209881E-03      1.285788573745E+00      1.548512139192E-03      1.594838848852E+00      5.323854694920E-02
    1.000000     -8.280991746583E+00      1.342499068754E+00      1.884816640423E-02      1.188603893151E+00      5.491384896761E-03      1.566937843911E+00      1.013667590627E-01
    2.511886     -6.302358960137E+00      1.196362282637E+00      3.950441258397E-02      1.007348759990E+00      1.306248400507E-02      1.489967237859E+00      1.609267383679E-01
    6.309573     -3.268697015017E+00      7.759448432991E-01      5.998073321640E-02      4.807650593819E-01      2.674432120568E-02      1.232220944399E+00      1.872345743490E-01
   15.848932     -1.269062520685E+00      1.919040443266E-01      2.067969948432E-02      6.823536547962E-02      1.503908288456E-02      6.312107950357E-01      5.783034535606E-02
   39.810717     -5.024091235050E-01      3.889395102089E-02      3.485734610979E-03      1.017149763860E-02      2.875504573472E-03      2.698799914706E-01      9.948248474359E-03
  100.000000     -1.999889529557E-01      7.617204304358E-03      5.545591790559E-04      1.601383923610E-03      4.667545855067E-04      1.107847544908E-01      1.596240382694E-03
