# L=5, N=5, T=1.0, sym gs, n_max=2
#          U         Eg                 S₁(ℓ=2)              S₁acc(ℓ=2)                 S₂(ℓ=2)              S₂acc(ℓ=2)                 EN(ℓ=2)              ENacc(ℓ=2)
    0.010000     -8.324969790090E+00      1.217781315588E+00      8.183800695918E-02      1.037354262515E+00      3.315065304872E-02      1.485922833778E+00      2.286399833239E-01
    0.025119     -8.306818790354E+00      1.217131955097E+00      8.169224120553E-02      1.036696259296E+00      3.306511723887E-02      1.485400688110E+00      2.284659009798E-01
    0.063096     -8.261334136582E+00      1.215495435838E+00      8.132813630827E-02      1.035030695745E+00      3.285156815772E-02      1.484088191828E+00      2.280324706655E-01
    0.158489     -8.147768295625E+00      1.211349987986E+00      8.042674704384E-02      1.030764914512E+00      3.232356799489E-02      1.480785798686E+00      2.269685602980E-01
    0.398107     -7.866855446921E+00      1.200707202021E+00      7.825076583667E-02      1.019503538790E+00      3.105289901172E-02      1.472459554894E+00      2.244612648183E-01
    1.000000     -7.189051857045E+00      1.172308145493E+00      7.341459568554E-02      9.872862783923E-01      2.825021270759E-02      1.451383921670E+00      2.193210047562E-01
    2.511886     -5.669579339691E+00      1.085456948403E+00      6.602344160425E-02      8.736387127787E-01      2.415774339160E-02      1.396067325834E+00      2.138760128680E-01
    6.309573     -3.114188432510E+00      7.187222933687E-01      6.133033234978E-02      4.272927988961E-01      2.810571794144E-02      1.174023279427E+00      1.872610637358E-01
   15.848932     -1.258772432815E+00      1.883702720069E-01      2.030350721309E-02      6.668150899592E-02      1.479922127256E-02      6.229520234644E-01      5.696249896123E-02
   39.810717     -5.017749137913E-01      3.877937923945E-02      3.474170207622E-03      1.013697732205E-02      2.866128786753E-03      2.692856256804E-01      9.920348625701E-03
  100.000000     -1.999489631408E-01      7.613566169117E-03      5.542638926581E-04      1.600529116441E-03      4.665067180563E-04      1.107453457679E-01      1.595508910495E-03
