# L=5, N=5, T=1.0, sym gs
#          U         Eg                 S₁(ℓ=2)              S₁acc(ℓ=2)                 S₂(ℓ=2)              S₂acc(ℓ=2)                 EN(ℓ=2)              ENacc(ℓ=2)
    0.000000     -1.000000000000E+01      1.497998182904E+00     -5.551115123126E-17      1.379287466046E+00     -8.881784197001E-16      1.607739800130E+00      1.332267629550E-15
    0.100000     -9.803813255083E+00      1.475561485228E+00      7.314615612880E-04      1.352140366078E+00      1.397328937990E-04      1.605358785225E+00      1.591750810369E-02
    0.200000     -9.614597887222E+00      1.455747122198E+00      2.269093399150E-03      1.327778663464E+00      4.922372214740E-04      1.602289902126E+00      2.992127937620E-02
    0.300000     -9.431539190391E+00      1.437865883144E+00      4.194219341113E-03      1.305674691082E+00      9.826103513754E-04      1.598714571925E+00      4.234161035705E-02
    0.400000     -9.253994314188E+00      1.421492737232E+00      6.304586226909E-03      1.285420289659E+00      1.560016245426E-03      1.594761118681E+00      5.343761038224E-02
    0.500000     -9.081445590987E+00      1.406329746799E+00      8.486001787274E-03      1.266695518145E+00      2.189568760541E-03      1.590522382146E+00      6.341502648196E-02
    0.600000     -8.913468832376E+00      1.392156950816E+00      1.067091490770E-02      1.249245963372E+00      2.847144184952E-03      1.586066840152E+00      7.243925125149E-02
    0.700000     -8.749711207199E+00      1.378806445281E+00      1.281881482067E-02      1.232866360772E+00      3.516001667295E-03      1.581445844003E+00      8.064482375555E-02
    0.800000     -8.589875432152E+00      1.366146775439E+00      1.490566512039E-02      1.217388718290E+00      4.184541678200E-03      1.576698444111E+00      8.814241394128E-02
    0.900000     -8.433708230783E+00      1.354072842637E+00      1.691778946602E-02      1.202673634836E+00      4.844794454432E-03      1.571854676862E+00      9.502400242485E-02
    1.000000     -8.280991746583E+00      1.342499068754E+00      1.884816640423E-02      1.188603893151E+00      5.491384896760E-03      1.566937843911E+00      1.013667590627E-01
    1.100000     -8.131537043394E+00      1.331354610168E+00      2.069410802521E-02      1.175079684706E+00      6.120813415772E-03      1.561966117610E+00      1.072359757146E-01
    1.200000     -7.985179108217E+00      1.320579919757E+00      2.245576748192E-02      1.162015016986E+00      6.730949338814E-03      1.556953687634E+00      1.126873053529E-01
    1.300000     -7.841772953446E+00      1.310124225813E+00      2.413515879793E-02      1.149334986297E+00      7.320669226103E-03      1.551911590497E+00      1.177684878305E-01
    1.400000     -7.701190535734E+00      1.299943651580E+00      2.573550121881E-02      1.136973690872E+00      7.889595190077E-03      1.546848317091E+00      1.225206924019E-01
    1.500000     -7.563318289586E+00      1.289999792412E+00      2.726077335499E-02      1.124872622685E+00      8.437903019633E-03      1.541770263223E+00      1.269795717347E-01
    1.600000     -7.428055129386E+00      1.280258626122E+00      2.871540526182E-02      1.112979421028E+00      8.966179557805E-03      1.536682068106E+00      1.311760970168E-01
    1.700000     -7.295310812334E+00      1.270689670062E+00      3.010406256087E-02      1.101246902347E+00      9.475315191268E-03      1.531586872346E+00      1.351372257483E-01
    1.800000     -7.165004582233E+00      1.261265323723E+00      3.143149279824E-02      1.089632303382E+00      9.966421620319E-03      1.526486517814E+00      1.388864407724E-01
    1.900000     -7.037064033865E+00      1.251960352860E+00      3.270241441504E-02      1.078096690716E+00      1.044076800825E-02      1.521381705408E+00      1.424441895904E-01
    2.000000     -6.911424152031E+00      1.242751483102E+00      3.392143525833E-02      1.066604501581E+00      1.089973062245E-02      1.516272122332E+00      1.458282460226E-01
    2.100000     -6.788026489958E+00      1.233617079428E+00      3.509299184512E-02      1.055123189227E+00      1.134475247648E-02      1.511156547356E+00      1.490540110984E-01
    2.200000     -6.666818459650E+00      1.224536893912E+00      3.622130343243E-02      1.043622952373E+00      1.177731046219E-02      1.506032940332E+00      1.521347662109E-01
    2.300000     -6.547752712727E+00      1.215491868542E+00      3.731033685296E-02      1.032076532801E+00      1.219888815411E-02      1.500898520619E+00      1.550818886686E-01
    2.400000     -6.430786594795E+00      1.206463983040E+00      3.836377937134E-02      1.020459068469E+00      1.261095296548E-02      1.495749837941E+00      1.579050375943E-01
    2.500000     -6.315881659901E+00      1.197436140025E+00      3.938501770485E-02      1.008747991929E+00      1.301493669434E-02      1.490582838335E+00      1.606123164460E-01
    2.600000     -6.203003234329E+00      1.188392081509E+00      4.037712196856E-02      9.969229655922E-01      1.341221876170E-02      1.485392927211E+00      1.632104171490E-01
    2.700000     -6.092120021098E+00      1.179316332032E+00      4.134283373396E-02      9.849658466373E-01      1.380411163896E-02      1.480175031076E+00      1.657047498244E-01
    2.800000     -5.983203738260E+00      1.170194164623E+00      4.228455769049E-02      9.728606752237E-01      1.419184810834E-02      1.474923659087E+00      1.680995613048E-01
    2.900000     -5.876228785408E+00      1.161011586459E+00      4.320435660762E-02      9.605936803273E-01      1.457657011105E-02      1.469632965270E+00      1.703980449900E-01
    3.000000     -5.771171933964E+00      1.151755341513E+00      4.410394943746E-02      9.481532979240E-01      1.495931902254E-02      1.464296812012E+00      1.726024440766E-01
    3.100000     -5.668012037685E+00      1.142412927835E+00      4.498471249124E-02      9.355301965745E-01      1.534102725892E-02      1.458908835178E+00      1.747141497570E-01
    3.200000     -5.566729760603E+00      1.132972627241E+00      4.584768367786E-02      9.227173057060E-01      1.572251116770E-02      1.453462511012E+00      1.767337956199E-01
