# L=8, N=8, T=1.0, sym gs
#          U         Eg                 S₁(ℓ=4)              S₁acc(ℓ=4)                 S₂(ℓ=4)              S₂acc(ℓ=4)                 EN(ℓ=4)              ENacc(ℓ=4)
    0.100000     -1.566032219790E+01      1.712121277557E+00      5.155057601055E-03      1.568187708482E+00      1.230323400945E-03      1.909772770645E+00      4.956175488752E-02
    0.107227     -1.563649279022E+01      1.709111763585E+00      5.719647309179E-03      1.564545659115E+00      1.384432739699E-03      1.909643523478E+00      5.260241588370E-02
    0.114976     -1.561103782379E+01      1.705961338564E+00      6.337786424750E-03      1.560719407927E+00      1.555870219962E-03      1.909490217266E+00      5.579636739426E-02
    0.123285     -1.558385213671E+01      1.702666822687E+00      7.013221972796E-03      1.556703885458E+00      1.746219932110E-03      1.909309795405E+00      5.914744998344E-02
    0.132194     -1.555482442172E+01      1.699225237077E+00      7.749759608707E-03      1.552494300358E+00      1.957147095755E-03      1.909098917340E+00      6.265915828217E-02
    0.141747     -1.552383693569E+01      1.695633814063E+00      8.551231797073E-03      1.548086174615E+00      2.190391211172E-03      1.908853944543E+00      6.633458978295E-02
    0.151991     -1.549076520185E+01      1.691890003386E+00      9.421461639760E-03      1.543475375847E+00      2.447757011756E-03      1.908570927404E+00      7.017639333454E-02
    0.162975     -1.545547770557E+01      1.687991473701E+00      1.036422253095E-02      1.538658145608E+00      2.731103069718E-03      1.908245593239E+00      7.418671809932E-02
    0.174753     -1.541783558408E+01      1.683936108843E+00      1.138319395608E-02      1.533631122647E+00      3.042327949596E-03      1.907873335637E+00      7.836716380717E-02
    0.187382     -1.537769231126E+01      1.679721998362E+00      1.248191389992E-02      1.528391360026E+00      3.383353857974E-03      1.907449205310E+00      8.271873319516E-02
    0.200923     -1.533489337831E+01      1.675347421941E+00      1.366372848108E-02      1.522936335073E+00      3.756107801935E-03      1.906967902633E+00      8.724178755925E-02
    0.215443     -1.528927597177E+01      1.670810827427E+00      1.493173957961E-02      1.517263951152E+00      4.162500342564E-03      1.906423771996E+00      9.193600635817E-02
    0.231013     -1.524066865027E+01      1.666110802329E+00      1.628875136457E-02      1.511372530393E+00      4.604402111149E-03      1.905810798067E+00      9.680035180097E-02
    0.247708     -1.518889102199E+01      1.661246038767E+00      1.773721675064E-02      1.505260796591E+00      5.083618342073E-03      1.905122604033E+00      1.018330393129E-01
    0.265609     -1.513375342505E+01      1.656215292019E+00      1.927918491072E-02      1.498927847695E+00      5.601861764374E-03      1.904352451816E+00      1.070315147174E-01
    0.284804     -1.507505661337E+01      1.651017332921E+00      2.091625103715E-02      1.492373117431E+00      6.160724279641E-03      1.903493244247E+00      1.123924388735E-01
    0.305386     -1.501259145133E+01      1.645650894526E+00      2.264950957143E-02      1.485596325834E+00      6.761647933243E-03      1.902537529082E+00      1.179116804043E-01
