# L=15, N=15, T=1.0, sym gs
#          U         Eg                 S₁(ℓ=7)              S₁acc(ℓ=7)                 S₂(ℓ=7)              S₂acc(ℓ=7)                 EN(ℓ=7)              ENacc(ℓ=7)
    0.100000     -2.932645766551E+01      1.960913400715E+00      2.978352793170E-02      1.792355049163E+00      9.189846116706E-03      2.376727915049E+00      2.880940148993E-01
    0.107227     -2.928013583758E+01      1.955902607221E+00      3.214790264816E-02      1.785728258263E+00      1.006388190362E-02      2.376076781248E+00      2.945804423683E-01
    0.114976     -2.923070493575E+01      1.950787333737E+00      3.463628173519E-02      1.778935524174E+00      1.099828150460E-02      2.375379368105E+00      3.012491883273E-01
    0.123285     -2.917796697696E+01      1.945569845084E+00      3.724849455774E-02      1.771981030379E+00      1.199443625331E-02      2.374632024585E+00      3.080947456633E-01
    0.132194     -2.912171244222E+01      1.940252257540E+00      3.998376758112E-02      1.764869129184E+00      1.305347654305E-02      2.373830984324E+00      3.151110031377E-01
    0.141747     -2.906171971357E+01      1.934836493184E+00      4.284072489609E-02      1.757604271193E+00      1.417625255914E-02      2.372972358233E+00      3.222912763686E-01
    0.151991     -2.899775449591E+01      1.929324237206E+00      4.581739720323E-02      1.750190933042E+00      1.536331862478E-02      2.372052127443E+00      3.296283456121E-01
    0.162975     -2.892956922548E+01      1.923716898677E+00      4.891123895642E-02      1.742633544655E+00      1.661492152627E-02      2.371066137554E+00      3.371145005233E-01
    0.174753     -2.885690246615E+01      1.918015575153E+00      5.211915312686E-02      1.734936417171E+00      1.793099306610E-02      2.370010094784E+00      3.447415913570E-01
    0.187382     -2.877947829587E+01      1.912221021245E+00      5.543752283330E-02      1.727103672620E+00      1.931114696440E-02      2.368879564424E+00      3.525010855927E-01
    0.200923     -2.869700568549E+01      1.906333621173E+00      5.886224890201E-02      1.719139176241E+00      2.075468009639E-02      2.367669971908E+00      3.603841288538E-01
    0.215443     -2.860917787271E+01      1.900353365078E+00      6.238879227933E-02      1.711046472168E+00      2.226057792182E-02      2.366376606614E+00      3.683816090230E-01
    0.231013     -2.851567173453E+01      1.894279828759E+00      6.601222012691E-02      1.702828722984E+00      2.382752383946E-02      2.364994628113E+00      3.764842223345E-01
    0.247708     -2.841614716209E+01      1.888112156344E+00      6.972725438990E-02      1.694488653412E+00      2.545391209112E-02      2.363519073931E+00      3.846825398599E-01
    0.265609     -2.831024644230E+01      1.881849045279E+00      7.352832163998E-02      1.686028498177E+00      2.713786375123E-02      2.361944867337E+00      3.929670724429E-01
    0.284804     -2.819759365156E+01      1.875488732971E+00      7.740960306092E-02      1.677449953813E+00      2.887724527440E-02      2.360266823709E+00      4.013283322987E-01
    0.305386     -2.807779406772E+01      1.869028984320E+00      8.136508355682E-02      1.668754133945E+00      3.066968903836E-02      2.358479654685E+00      4.097568904042E-01
    0.327455     -2.795043360724E+01      1.862467079360E+00      8.538859912097E-02      1.659941527358E+00      3.251261531470E-02      2.356577969859E+00      4.182434294528E-01
    0.351119     -2.781507829584E+01      1.855799800216E+00      8.947388179765E-02      1.651011957889E+00      3.440325512725E-02      2.354556275342E+00      4.267787912962E-01
    0.376494     -2.767127378206E+01      1.849023416555E+00      9.361460179517E-02      1.641964545006E+00      3.633867351556E-02      2.352408967734E+00      4.353540166554E-01
    0.403702     -2.751854490479E+01      1.842133668729E+00      9.780440655905E-02      1.632797663667E+00      3.831579281013E-02      2.350130322829E+00      4.439603760202E-01
    0.432876     -2.735639532743E+01      1.835125747780E+00      1.020369568851E-01      1.623508901857E+00      4.033141564285E-02      2.347714480531E+00      4.525893940761E-01
    0.464159     -2.718430725348E+01      1.827994271496E+00      1.063059604399E-01      1.614095013934E+00      4.238224756115E-02      2.345155428909E+00      4.612328725161E-01
    0.497702     -2.700174124071E+01      1.820733255613E+00      1.106052033580E-01      1.604551867651E+00      4.446491928544E-02      2.342446989258E+00      4.698829148307E-01
    0.533670     -2.680813613377E+01      1.813336079259E+00      1.149285809111E-01      1.594874382389E+00      4.657600884738E-02      2.339582801412E+00      4.785319530830E-01
    0.572237     -2.660290913852E+01      1.805795443559E+00      1.192701285872E-01      1.585056455737E+00      4.871206407490E-02      2.336556307132E+00      4.871727746689E-01
    0.613591     -2.638545606500E+01      1.798103322217E+00      1.236240553090E-01      1.575090875015E+00      5.086962615309E-02      2.333360729880E+00      4.957985479383E-01
    0.657933     -2.615515177103E+01      1.790250902615E+00      1.279847809611E-01      1.564969209672E+00      5.304525530052E-02      2.329989050285E+00      5.044028474152E-01
    0.705480     -2.591135084345E+01      1.782228515676E+00      1.323469809162E-01      1.554681679543E+00      5.523555997357E-02      2.326433976757E+00      5.129796803302E-01
    0.756463     -2.565338856136E+01      1.774025552259E+00      1.367056408944E-01      1.544216992731E+00      5.743723147278E-02      2.322687909871E+00      5.215235160940E-01
    0.811131     -2.538058219343E+01      1.765630363250E+00      1.410561262842E-01      1.533562145125E+00      5.964708641171E-02      2.318742897964E+00      5.300293199665E-01
    0.869749     -2.509223269191E+01      1.757030139620E+00      1.453942710813E-01      1.522702171198E+00      6.186212027462E-02      2.314590580045E+00      5.384925919287E-01
    0.932603     -2.478762685847E+01      1.748210767514E+00      1.497164929306E-01      1.511619832398E+00      6.407957630950E-02      2.310222110256E+00      5.469094112064E-01
    1.000000     -2.446604007267E+01      1.739156651661E+00      1.540199424956E-01      1.500295224693E+00      6.629703539017E-02      2.305628054982E+00      5.552764852327E-01
    1.072267     -2.412673969426E+01      1.729850497886E+00      1.583026976816E-01      1.488705280084E+00      6.851253439470E-02      2.300798248718E+00      5.635911984925E-01
    1.149757     -2.376898927608E+01      1.720273041770E+00      1.625640162686E-01      1.476823127153E+00      7.072472332031E-02      2.295721587461E+00      5.718516516436E-01
    1.232847     -2.339205375777E+01      1.710402704965E+00      1.668046645112E-01      1.464617261461E+00      7.293307512844E-02      2.290385728541E+00      5.800566748213E-01
    1.321941     -2.299520585437E+01      1.700215152172E+00      1.710273444787E-01      1.452050455647E+00      7.513816768149E-02      2.284776652329E+00      5.882057908818E-01
    1.417474     -2.257773391168E+01      1.689682708669E+00      1.752372495661E-01      1.439078307855E+00      7.734206480853E-02      2.278878021944E+00      5.962990929067E-01
    1.519911     -2.213895157860E+01      1.678773577368E+00      1.794427857525E-01      1.425647280124E+00      7.954883452670E-02      2.272670247823E+00      6.043369822352E-01
    1.629751     -2.167820975200E+01      1.667450760628E+00      1.836565052804E-01      1.411692007057E+00      8.176525811334E-02      2.266129118170E+00      6.123196833889E-01
    1.747528     -2.119491139561E+01      1.655670536211E+00      1.878963075583E-01      1.397131545548E+00      8.400180578166E-02      2.259223784168E+00      6.202464025512E-01
    1.873817     -2.068853003661E+01      1.643380242973E+00      1.921869641022E-01      1.381864066888E+00      8.627398494939E-02      2.251913774555E+00      6.281139140845E-01
